# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 311.28866309714624094 6494.3187355018517337 1411.2397612891470544 -3026.9219078568908117 211.57961063191780227 4226.5820585141200354 7135
2000000 310.35233811259854519 6474.784478040734939 856.13144667732899507 -3381.5268813058119122 5.9965894273937294656 4231.6617385557474336 7165
3000000 309.08184705768701406 6448.2786175988312607 594.86075378573309536 -3686.8232299943201724 29.642699710377556244 4252.0412840696753847 7180
4000000 309.0964575573127604 6448.5834319165469424 330.99518543141886084 -3937.2547446388607568 -88.898027859892295055 4357.1479579301721969 7188
5000000 309.08370964258801905 6448.3174761293630581 -69.651933378872001867 -4307.0050136982436015 -118.05310048892681607 4355.4061808082988136 7195
6000000 307.28756294854571252 6410.8450252833508785 -424.88953770961796863 -4449.0431911673567811 -199.77229866531121161 4223.9259521230505925 7208
7000000 312.23184465832304113 6513.9960395924881595 -441.89681161418832289 -4668.7881862076110338 -98.975913129093356702 4325.8672877225162665 7210
8000000 311.63858839678772483 6501.6191183904456921 -688.54457667079748262 -4788.6590808680903137 -198.58868347099954121 4298.7031876682922302 7214
9000000 308.33888858783762998 6432.7785057012879406 -782.91601484643365438 -4887.051650254170454 -261.93839872321007078 4366.0740341309465293 7218
10000000 304.37140232068855994 6350.0060714557412211 -1064.0868078471073659 -5042.6285227304633736 -296.62112040067609087 4275.1628352840325533 7221
11000000 308.4111164023930769 6434.2853721725068681 -1114.3589874108047297 -5047.9462863355829541 -328.69773141880330058 4262.2850303435816386 7226
12000000 306.06332628128495799 6385.3041557708666005 -1026.2541568095666662 -4972.2468534718382216 -337.9012034810813816 4283.8939001433527665 7228
13000000 305.39218806952334262 6371.3024076204865196 -1079.7503133171844638 -5005.1157580900653556 -311.94980281239588749 4237.3152475852766656 7230
14000000 305.1596671867389432 6366.4513966314007121 -1145.5818007611478606 -4953.6949451260261412 -379.95683377099487643 4188.0699781358734981 7233
15000000 313.40838260424533246 6538.5417854902361796 -1399.6949242983314434 -5139.0972197005739872 -411.37356334160142524 4150.7758587438438553 7234
16000000 316.58126832461596223 6604.7367152200686178 -950.82965173775187395 -4851.6593977461197937 -348.89465011419463281 4249.724396122563121 7235
17000000 311.05550379901603719 6489.4544054516081815 -989.9859794675479634 -4854.5822194143765955 -358.92801873684391012 4223.5242586836720875 7235
18000000 311.29182015019608798 6494.3846001194915516 -1116.8940942684876063 -4929.8673791796654768 -392.2403476406094569 4205.2136325517876685 7237
19000000 303.74096500582146518 6336.853453481269753 -1097.4844573094283078 -5043.9026883301794442 -336.97219166783406763 4283.3904226885842945 7236
20000000 308.1276825899374785 6428.3721805381219383 -1096.4513100458618737 -4927.1505643320060699 -416.35264049011686893 4247.0518947762611788 7237
21000000 305.72072327775993017 6378.1565356728697225 -1267.0806380585704574 -5010.4412572913106487 -421.83376445128158139 4165.1943836840218864 7238
22000000 307.83260754474184751 6422.2161214792186001 -1152.0322531534020527 -4926.7725002879851672 -413.48095057458613155 4188.2211977091683366 7240
23000000 309.98251221269407552 6467.0689151071946981 -1269.4947566349501358 -5073.277165869523742 -457.5355758854063879 4261.3179851199802215 7239
24000000 304.54516454718384466 6353.6312188408828661 -1196.6532762233016456 -4994.571709284861754 -311.79105105434621237 4109.7094841159059797 7242
25000000 308.01819290018414677 6426.0879311329726988 -1241.3551349305366784 -5003.6007628745101101 -368.49621391108178159 4130.7418418550550996 7238
26000000 305.97301190135891602 6383.419954901476558 -1245.0809502243805582 -4932.3253057660776904 -410.52892659703024947 4097.7732821387280637 7242
27000000 306.3421548449635452 6391.1212695297635946 -1268.6973846007263091 -5044.3913473632928799 -405.60920443383940892 4181.3031671964054112 7239
