# timeSteps mean_CV Std_CV
6.6000e+07 1.0632e+02 2.1022e+00
6.6500e+07 1.0596e+02 3.1491e+00
6.7000e+07 1.0604e+02 2.0662e+00
6.7500e+07 1.0656e+02 2.2943e+00
6.8000e+07 1.0661e+02 2.1678e+00
6.8500e+07 1.0641e+02 2.1286e+00
6.9000e+07 1.0681e+02 1.8155e+00
6.9500e+07 1.0668e+02 1.6173e+00
7.0000e+07 1.0684e+02 1.4193e+00
7.0500e+07 1.0630e+02 1.3199e+00
7.1000e+07 1.0643e+02 1.5731e+00
7.1500e+07 1.0713e+02 1.7597e+00
7.2000e+07 1.0700e+02 1.5636e+00
7.2500e+07 1.0723e+02 2.1940e+00
7.3000e+07 1.0672e+02 2.1867e+00
7.3500e+07 1.0688e+02 2.1661e+00
7.4000e+07 1.0737e+02 2.6224e+00
7.4500e+07 1.0711e+02 2.2658e+00
7.5000e+07 1.0635e+02 2.6899e+00
7.5500e+07 1.0652e+02 3.1188e+00
7.6000e+07 1.0659e+02 2.9501e+00
7.6500e+07 1.0657e+02 3.2270e+00
7.7000e+07 1.0653e+02 2.7051e+00
7.7500e+07 1.0690e+02 3.0601e+00
7.8000e+07 1.0710e+02 2.7596e+00
7.8500e+07 1.0719e+02 3.1292e+00
7.9000e+07 1.0766e+02 3.1440e+00
7.9500e+07 1.0698e+02 3.3689e+00
8.0000e+07 1.0705e+02 2.6510e+00
8.0500e+07 1.0647e+02 3.2877e+00
8.1000e+07 1.0725e+02 3.2478e+00
8.1500e+07 1.0757e+02 3.2025e+00
8.2000e+07 1.0797e+02 3.4819e+00
8.2500e+07 1.0813e+02 3.9473e+00
8.3000e+07 1.0741e+02 3.2068e+00
8.3500e+07 1.0728e+02 3.7544e+00
8.4000e+07 1.0709e+02 3.7022e+00
8.4500e+07 1.0689e+02 2.9655e+00
8.5000e+07 1.0710e+02 2.8980e+00
8.5500e+07 1.0656e+02 2.4911e+00
8.6000e+07 1.0669e+02 2.7070e+00
8.6500e+07 1.0593e+02 2.8395e+00
8.7000e+07 1.0624e+02 2.9014e+00
8.7500e+07 1.0597e+02 2.1600e+00
8.8000e+07 1.0606e+02 3.1195e+00
8.8500e+07 1.0515e+02 3.4217e+00
8.9000e+07 1.0611e+02 2.6945e+00
8.9500e+07 1.0597e+02 2.5545e+00
9.0000e+07 1.0504e+02 2.6355e+00
9.0500e+07 1.0528e+02 3.6670e+00
9.1000e+07 1.0431e+02 4.4018e+00
9.1500e+07 1.0544e+02 3.4547e+00
9.2000e+07 1.0599e+02 3.3001e+00
9.2500e+07 1.0612e+02 2.8285e+00
9.3000e+07 1.0649e+02 3.2134e+00
9.3500e+07 1.0622e+02 2.7764e+00
9.4000e+07 1.0602e+02 2.5416e+00
9.4500e+07 1.0579e+02 2.4228e+00
9.5000e+07 1.0607e+02 3.0535e+00
9.5500e+07 1.0542e+02 3.0388e+00
9.6000e+07 1.0611e+02 3.2766e+00
9.6500e+07 1.0656e+02 3.5222e+00
9.7000e+07 1.0641e+02 2.7069e+00
9.7500e+07 1.0649e+02 2.6822e+00
9.8000e+07 1.0589e+02 2.5599e+00
9.8500e+07 1.0586e+02 2.7950e+00
9.9000e+07 1.0545e+02 2.4816e+00
9.9500e+07 1.0515e+02 1.9553e+00
1.0000e+08 1.0520e+02 1.0433e+00
