# TimeStep	RadGy_system	Hull_area	Hull_volume	Lx	Ly	Lz
3.0000e+08 1.3113e+02 4.8591e+05 2.9348e+07 3.8895e+02 3.7092e+02 4.6906e+02
3.0500e+08 1.3041e+02 4.8416e+05 2.8369e+07 3.9948e+02 3.8619e+02 4.7393e+02
3.1000e+08 1.2982e+02 4.7347e+05 2.7937e+07 3.8417e+02 3.8051e+02 3.9213e+02
3.1500e+08 1.3075e+02 4.6527e+05 2.7005e+07 3.9572e+02 3.6287e+02 4.3336e+02
3.2000e+08 1.3178e+02 4.7364e+05 2.7576e+07 4.2467e+02 3.9177e+02 4.5837e+02
3.2500e+08 1.3043e+02 4.9031e+05 2.9216e+07 4.1579e+02 3.6891e+02 4.1244e+02
3.3000e+08 1.3212e+02 4.9693e+05 3.0546e+07 3.8793e+02 4.0249e+02 4.2972e+02
3.3500e+08 1.3157e+02 5.1016e+05 3.1032e+07 4.0517e+02 4.2391e+02 4.8897e+02
3.4000e+08 1.3103e+02 4.9772e+05 3.0265e+07 4.1000e+02 4.3855e+02 4.5413e+02
3.4500e+08 1.3219e+02 4.9923e+05 2.9869e+07 4.0278e+02 3.7163e+02 4.6298e+02
3.5000e+08 1.3041e+02 4.7833e+05 2.8571e+07 3.9578e+02 3.8130e+02 4.5757e+02
3.5500e+08 1.2958e+02 4.7304e+05 2.8192e+07 4.2115e+02 3.9915e+02 4.3133e+02
3.6000e+08 1.2894e+02 4.6197e+05 2.7097e+07 3.9964e+02 3.8259e+02 4.1781e+02
3.6500e+08 1.2779e+02 4.6446e+05 2.7564e+07 3.5785e+02 3.7780e+02 4.3287e+02
3.7000e+08 1.2951e+02 4.5895e+05 2.7315e+07 3.9666e+02 3.5250e+02 4.1993e+02
3.7500e+08 1.3094e+02 4.7677e+05 2.8556e+07 3.9023e+02 4.0663e+02 4.0682e+02
3.8000e+08 1.2958e+02 4.6557e+05 2.7488e+07 4.3084e+02 3.5973e+02 4.2923e+02
3.8500e+08 1.2960e+02 4.7226e+05 2.8039e+07 3.8964e+02 3.7066e+02 4.0060e+02
3.9000e+08 1.2900e+02 4.5207e+05 2.6386e+07 3.5992e+02 3.5824e+02 4.4324e+02
3.9500e+08 1.3039e+02 4.8546e+05 2.9106e+07 4.0061e+02 3.5488e+02 4.6996e+02
4.0000e+08 1.3136e+02 4.9013e+05 2.9963e+07 4.2354e+02 4.1781e+02 3.9593e+02
