# RadGy	HullArea	GeodesicLength
1.5415e+02 6.7724e+05 8.2787e+01
1.5380e+02 6.6742e+05 8.0926e+01
1.5328e+02 7.0233e+05 7.7440e+01
1.5540e+02 6.6752e+05 8.0254e+01
1.5622e+02 6.6087e+05 8.9929e+01
1.5331e+02 6.2441e+05 8.1213e+01
1.5537e+02 6.3743e+05 9.6500e+01
1.5348e+02 6.3401e+05 7.9535e+01
1.5382e+02 6.6752e+05 7.3854e+01
1.5455e+02 6.1774e+05 9.2751e+01
1.5330e+02 6.3027e+05 7.7109e+01
1.5213e+02 6.4195e+05 7.8241e+01
1.5488e+02 6.5109e+05 7.6548e+01
1.5456e+02 6.4036e+05 7.9701e+01
1.5145e+02 5.9668e+05 8.1404e+01
1.5151e+02 6.4004e+05 7.2810e+01
1.5288e+02 6.6125e+05 7.5055e+01
1.5048e+02 5.7934e+05 8.7724e+01
1.5019e+02 6.2392e+05 8.8200e+01
1.5234e+02 6.4918e+05 9.2504e+01
1.5085e+02 6.4191e+05 7.5240e+01
1.4782e+02 5.8234e+05 7.9220e+01
1.5079e+02 6.1619e+05 7.9362e+01
1.5058e+02 6.1235e+05 7.6773e+01
1.4916e+02 6.1266e+05 8.9000e+01
1.5096e+02 6.0662e+05 9.5389e+01
1.5426e+02 6.7057e+05 8.3288e+01
1.5393e+02 6.9669e+05 8.8015e+01
1.5043e+02 6.4500e+05 7.1825e+01
1.4642e+02 6.1307e+05 7.7843e+01
1.5323e+02 6.3881e+05 8.0062e+01
1.5153e+02 6.2589e+05 8.7063e+01
1.5140e+02 6.2848e+05 7.8231e+01
1.5231e+02 6.2912e+05 8.1302e+01
1.5550e+02 6.9818e+05 8.5923e+01
1.5390e+02 7.2441e+05 7.6046e+01
1.5505e+02 7.2149e+05 8.6676e+01
1.5097e+02 6.3899e+05 7.8682e+01
1.5109e+02 6.2407e+05 7.4572e+01
1.5074e+02 6.4032e+05 7.4351e+01
1.5058e+02 6.6317e+05 7.2528e+01
1.5307e+02 7.0163e+05 9.4035e+01
1.5708e+02 7.4570e+05 8.8215e+01
1.6372e+02 9.0311e+05 8.0563e+01
1.6014e+02 7.6671e+05 9.2333e+01
1.5940e+02 7.2850e+05 7.9356e+01
1.6199e+02 7.2237e+05 8.7501e+01
1.6111e+02 7.1312e+05 8.9061e+01
1.6052e+02 8.1808e+05 8.8107e+01
1.5842e+02 7.5020e+05 7.8959e+01
1.5030e+02 6.7251e+05 8.7548e+01
1.4861e+02 6.2528e+05 8.6338e+01
1.4945e+02 6.4065e+05 8.6149e+01
1.5088e+02 6.1907e+05 7.6700e+01
1.4976e+02 6.1147e+05 8.0289e+01
1.4736e+02 6.3099e+05 8.9131e+01
1.5265e+02 5.8372e+05 8.3221e+01
1.5483e+02 6.7605e+05 8.1371e+01
1.5516e+02 6.3882e+05 7.8444e+01
1.5536e+02 6.3897e+05 8.1291e+01
1.5299e+02 6.8269e+05 8.7937e+01
1.4851e+02 6.7123e+05 9.0057e+01
1.5031e+02 6.9890e+05 8.2135e+01
1.5141e+02 6.7453e+05 8.4962e+01
1.5143e+02 6.4213e+05 8.0511e+01
1.5705e+02 7.3002e+05 7.8201e+01
1.5663e+02 7.4951e+05 7.8034e+01
1.5361e+02 7.4050e+05 7.5307e+01
1.5837e+02 8.0800e+05 8.5651e+01
1.5417e+02 7.7007e+05 9.5177e+01
1.5304e+02 6.9600e+05 8.9390e+01
1.5271e+02 7.1479e+05 8.0183e+01
1.5380e+02 7.2193e+05 8.0214e+01
1.5157e+02 5.9579e+05 8.5902e+01
1.4781e+02 6.0434e+05 8.3500e+01
1.4796e+02 5.8934e+05 7.7981e+01
1.4834e+02 6.2742e+05 8.2238e+01
1.5111e+02 6.2991e+05 8.9401e+01
1.5088e+02 6.4335e+05 8.8101e+01
1.4931e+02 6.2300e+05 8.0617e+01
1.5140e+02 5.9768e+05 8.2597e+01
1.5114e+02 6.1980e+05 9.2162e+01
1.5230e+02 6.2990e+05 8.2999e+01
1.5370e+02 6.3679e+05 8.2542e+01
1.5607e+02 6.8263e+05 9.1862e+01
1.4967e+02 6.2855e+05 9.0233e+01
1.4965e+02 6.1526e+05 7.1477e+01
1.4872e+02 5.7525e+05 7.8391e+01
1.4874e+02 5.9007e+05 8.1850e+01
1.4700e+02 5.5510e+05 7.5000e+01
1.5096e+02 6.1761e+05 8.1609e+01
1.5141e+02 6.0759e+05 1.1371e+02
1.5373e+02 6.2406e+05 8.1660e+01
1.5425e+02 6.2406e+05 7.7751e+01
1.5258e+02 6.3283e+05 8.0605e+01
1.5153e+02 5.7586e+05 8.8165e+01
1.5306e+02 6.1987e+05 7.6008e+01
1.5408e+02 6.6766e+05 8.8497e+01
1.5287e+02 6.5764e+05 8.0035e+01
1.4993e+02 5.8527e+05 8.0346e+01
