# timeSteps mean_CV Std_CV
1.3200e+07 1.5120e+00 3.8248e-02
1.3300e+07 1.5107e+00 3.8419e-02
1.3400e+07 1.5087e+00 3.8052e-02
1.3500e+07 1.5075e+00 3.9183e-02
1.3600e+07 1.5064e+00 4.3329e-02
1.3700e+07 1.5056e+00 4.0766e-02
1.3800e+07 1.5069e+00 4.0483e-02
1.3900e+07 1.5116e+00 4.0715e-02
1.4000e+07 1.5093e+00 4.0481e-02
1.4100e+07 1.5097e+00 3.8800e-02
1.4200e+07 1.5119e+00 4.0771e-02
1.4300e+07 1.5117e+00 3.9676e-02
1.4400e+07 1.5100e+00 4.0403e-02
1.4500e+07 1.5096e+00 3.9191e-02
1.4600e+07 1.5124e+00 4.2247e-02
1.4700e+07 1.5119e+00 4.1478e-02
1.4800e+07 1.5107e+00 3.9612e-02
1.4900e+07 1.5107e+00 3.9134e-02
1.5000e+07 1.5126e+00 4.1593e-02
1.5100e+07 1.5111e+00 3.6848e-02
1.5200e+07 1.5106e+00 3.6404e-02
1.5300e+07 1.5100e+00 3.9002e-02
1.5400e+07 1.5096e+00 3.7118e-02
1.5500e+07 1.5088e+00 3.7463e-02
1.5600e+07 1.5082e+00 3.7973e-02
1.5700e+07 1.5084e+00 3.8866e-02
1.5800e+07 1.5060e+00 3.9765e-02
1.5900e+07 1.5063e+00 3.8127e-02
1.6000e+07 1.5046e+00 3.6818e-02
1.6100e+07 1.5058e+00 3.7231e-02
1.6200e+07 1.5070e+00 3.5661e-02
1.6300e+07 1.5040e+00 3.8071e-02
1.6400e+07 1.5032e+00 3.7333e-02
1.6500e+07 1.5053e+00 3.8517e-02
1.6600e+07 1.5052e+00 3.7885e-02
1.6700e+07 1.5038e+00 4.0565e-02
1.6800e+07 1.5021e+00 3.9537e-02
1.6900e+07 1.5016e+00 3.8633e-02
1.7000e+07 1.5023e+00 4.0089e-02
1.7100e+07 1.5033e+00 4.0538e-02
1.7200e+07 1.5059e+00 4.1154e-02
1.7300e+07 1.5085e+00 3.8649e-02
1.7400e+07 1.5079e+00 3.9284e-02
1.7500e+07 1.5063e+00 4.1101e-02
1.7600e+07 1.5090e+00 4.0433e-02
1.7700e+07 1.5096e+00 3.9827e-02
1.7800e+07 1.5093e+00 3.8836e-02
1.7900e+07 1.5110e+00 3.9516e-02
1.8000e+07 1.5089e+00 3.9154e-02
1.8100e+07 1.5098e+00 3.9372e-02
1.8200e+07 1.5089e+00 3.8341e-02
1.8300e+07 1.5089e+00 4.0198e-02
1.8400e+07 1.5080e+00 3.8297e-02
1.8500e+07 1.5094e+00 3.8648e-02
1.8600e+07 1.5098e+00 3.8136e-02
1.8700e+07 1.5109e+00 3.4991e-02
1.8800e+07 1.5116e+00 3.6147e-02
1.8900e+07 1.5125e+00 3.5429e-02
1.9000e+07 1.5136e+00 3.5777e-02
1.9100e+07 1.5139e+00 3.3681e-02
1.9200e+07 1.5137e+00 3.5037e-02
1.9300e+07 1.5109e+00 3.5077e-02
1.9400e+07 1.5132e+00 3.6815e-02
1.9500e+07 1.5148e+00 3.3478e-02
1.9600e+07 1.5137e+00 3.3681e-02
1.9700e+07 1.5126e+00 3.0916e-02
1.9800e+07 1.5100e+00 3.1410e-02
1.9900e+07 1.5116e+00 3.1514e-02
2.0000e+07 1.5109e+00 3.1817e-02
2.0100e+07 1.5107e+00 3.1658e-02
2.0200e+07 1.5114e+00 3.0667e-02
2.0300e+07 1.5124e+00 3.1177e-02
2.0400e+07 1.5114e+00 2.9100e-02
2.0500e+07 1.5114e+00 2.8762e-02
2.0600e+07 1.5146e+00 3.1081e-02
