# RadGy	HullArea	GeodesicLength
1.1377e+02 3.2142e+05 6.6075e+01
1.1377e+02 3.2380e+05 6.7025e+01
1.1422e+02 3.2733e+05 5.6611e+01
1.1550e+02 3.3114e+05 6.1246e+01
1.1483e+02 3.3046e+05 5.9150e+01
1.1462e+02 3.2947e+05 6.0967e+01
1.1438e+02 3.3783e+05 7.0849e+01
1.1413e+02 3.2686e+05 6.2067e+01
1.1240e+02 3.1198e+05 6.1848e+01
1.1343e+02 3.2542e+05 6.5678e+01
1.1481e+02 3.3904e+05 6.9936e+01
1.1453e+02 3.6186e+05 6.4966e+01
1.1331e+02 3.1973e+05 6.3913e+01
1.1476e+02 3.4511e+05 6.4343e+01
1.1507e+02 3.3968e+05 6.4014e+01
1.1415e+02 3.2346e+05 7.8604e+01
1.1431e+02 3.2559e+05 7.1462e+01
1.1389e+02 3.3226e+05 6.4814e+01
1.1418e+02 3.2790e+05 6.4909e+01
1.1557e+02 3.1954e+05 6.8619e+01
1.1420e+02 3.3121e+05 6.0669e+01
1.1477e+02 3.2712e+05 6.7872e+01
1.1562e+02 3.3138e+05 6.1593e+01
1.1455e+02 3.1874e+05 6.7798e+01
1.1492e+02 3.3391e+05 5.6618e+01
1.1408e+02 3.2543e+05 6.6325e+01
1.1480e+02 3.1992e+05 7.0401e+01
1.1422e+02 3.1971e+05 6.1342e+01
1.1518e+02 3.3670e+05 6.7230e+01
1.1423e+02 3.2046e+05 6.1513e+01
1.1529e+02 3.4316e+05 6.5510e+01
1.1575e+02 3.2576e+05 7.6306e+01
1.1591e+02 3.3487e+05 6.5481e+01
1.1605e+02 3.2811e+05 6.5563e+01
1.1404e+02 3.3167e+05 7.1864e+01
1.1506e+02 3.2964e+05 7.0485e+01
1.1478e+02 3.3367e+05 6.7048e+01
1.1412e+02 3.2094e+05 6.4240e+01
1.1326e+02 3.2010e+05 6.6020e+01
1.1350e+02 3.1783e+05 6.4542e+01
1.1507e+02 3.2902e+05 7.3583e+01
1.1446e+02 3.2231e+05 6.2054e+01
1.1583e+02 3.3696e+05 6.5549e+01
1.1588e+02 3.2329e+05 7.7328e+01
1.1475e+02 3.2153e+05 7.7330e+01
1.1519e+02 3.1927e+05 7.0306e+01
1.1609e+02 3.3828e+05 7.6783e+01
1.1438e+02 3.2081e+05 6.6285e+01
1.1273e+02 3.1165e+05 6.3963e+01
1.1202e+02 3.1317e+05 6.6169e+01
1.1508e+02 3.5382e+05 7.1370e+01
1.1517e+02 3.3294e+05 5.9888e+01
1.1451e+02 3.2813e+05 6.3289e+01
1.1470e+02 3.3449e+05 6.4661e+01
1.1399e+02 3.3279e+05 6.2553e+01
1.1582e+02 3.2653e+05 6.6468e+01
1.1337e+02 3.2358e+05 6.4119e+01
1.1414e+02 3.2283e+05 6.8089e+01
1.1342e+02 3.1732e+05 6.5745e+01
1.1365e+02 3.1619e+05 5.5452e+01
1.1427e+02 3.2154e+05 6.3424e+01
1.1502e+02 3.1817e+05 6.5693e+01
1.1379e+02 3.2391e+05 6.5470e+01
1.1461e+02 3.3318e+05 6.6266e+01
1.1543e+02 3.2818e+05 6.5048e+01
1.1521e+02 3.2955e+05 6.3410e+01
1.1435e+02 3.2928e+05 6.6689e+01
1.1475e+02 3.1728e+05 7.1281e+01
1.1519e+02 3.3948e+05 6.4853e+01
1.1399e+02 3.1659e+05 6.2423e+01
1.1676e+02 3.4036e+05 7.5176e+01
1.1511e+02 3.2584e+05 6.7945e+01
1.1431e+02 3.1302e+05 6.4137e+01
1.1467e+02 3.1546e+05 7.0882e+01
1.1573e+02 3.3274e+05 6.6878e+01
1.1405e+02 3.1409e+05 6.3961e+01
1.1419e+02 3.2744e+05 6.5610e+01
1.1375e+02 3.2870e+05 6.8421e+01
1.1358e+02 3.2831e+05 6.1289e+01
1.1270e+02 3.2264e+05 5.8531e+01
1.1533e+02 3.2994e+05 6.6539e+01
1.1625e+02 3.3990e+05 6.3660e+01
1.1721e+02 3.4795e+05 7.8372e+01
1.1634e+02 3.3810e+05 6.2390e+01
1.1542e+02 3.4178e+05 6.8385e+01
1.1514e+02 3.3475e+05 7.3915e+01
1.1645e+02 3.2132e+05 7.1467e+01
1.1466e+02 3.3540e+05 6.5592e+01
1.1352e+02 3.1620e+05 6.3615e+01
1.1451e+02 3.5594e+05 7.3244e+01
1.1545e+02 3.3251e+05 6.2289e+01
1.1452e+02 3.3614e+05 6.5015e+01
1.1381e+02 3.2416e+05 5.9345e+01
1.1381e+02 3.1991e+05 5.6504e+01
1.1407e+02 3.2960e+05 5.9007e+01
1.1422e+02 3.3008e+05 6.0322e+01
1.1414e+02 3.3070e+05 6.5248e+01
1.1346e+02 3.2714e+05 7.2357e+01
1.1418e+02 3.5617e+05 6.4988e+01
1.1318e+02 3.1776e+05 6.0095e+01
